region,listings,price_mean,price_median,sq_feet_mean,sq_feet_median,price_per_sqfeet,beds_mean,baths_mean,Per_Capita_Income_2020,pop2020,pop2010,aland,awater,aland_sqmi,awater_sqmi,intptlat,intptlong,Density,Growth,Listings_per_1k_Capita,Listings_per_Density,Rent_per_Income,Percent_Water
ATX,2418,1379.616211745244,1275.0,944.5078577336642,850.0,1.572963443595483,1.6641852770885028,1.4733250620347396,64916.0,961855,790390,828638000,17024700,319.939,6.573,30.3012,-97.7527,3006.3699642744396,0.2169372082136667,2.513892426613159,7.557690684786787,0.2550279521372686,0.02054454130318592
CHI,1483,1723.1638570465273,1500.0,1033.334457181389,924.0,1.7897690064201537,1.7498314227916385,1.3256911665542819,66474.0,2746388,2695598,588882000,17621500,227.369,6.804,41.8376,-87.6818,12078.990539607423,0.01884183027291164,0.5399819690444322,6.522437095646284,0.31106848218188055,0.029924923802277358
DFW,2265,1294.3487858719648,1218.0,953.3814569536423,907.0,1.3938906958728008,1.6423841059602649,1.4158940397350994,61824.0,2223294,1939022,1774970000,137481300,685.3199999999999,53.082,65.57480000000001,-194.1132,3244.1691472596744,0.1466058662562879,1.018758652701802,3.30502538959902,0.2512322953944031,0.07745578707756962
HOU,1700,1179.2264705882353,1015.0,1018.604705882353,900.0,1.2269714522572859,1.6847058823529413,1.5002941176470588,61133.0,2304580,2099451,1658090000,81248100,640.194,31.37,29.7857,-95.3888,3599.8150560611316,0.09770601933553102,0.7376615261783058,2.655445068213698,0.23147428797963168,0.0490007716410963
JAX,4211,977.4476371408217,935.0,955.7696509142721,920.0,1.0563272664821732,1.8537164568985989,1.429589171218238,55158.0,949611,821784,1935930000,329458000,747.467,127.204,30.3369,-81.6616,1270.4386949524194,0.15554817324260384,4.434447368448764,5.633693527607239,0.21265041599930853,0.1701800882179414
LA,2232,2509.5833333333335,2295.0,919.818100358423,843.0,2.8970566676283123,1.4659498207885304,1.4260752688172043,70280.0,3898747,3792621,1214590000,87468500,468.956,33.772,34.0194,-118.411,8313.673351018006,0.02798223181277537,0.5724916235908614,4.759508354728375,0.42850028457598177,0.07201528501607826
NY,723,2643.741355463347,2400.0,910.0926694329183,850.0,3.1644848568701,1.686030428769018,1.1881051175656985,78727.0,8804190,8175133,777983000,434642000,300.381,167.816,40.6635,-73.9387,29310.07620322191,0.07694761663204752,0.08211999059538697,2.406943182158659,0.4029735194477138,0.5586771466903699
PHL,1833,1620.3617021276596,1495.0,964.278232405892,900.0,1.8420886229098967,1.6950354609929077,1.3742498636115656,68200.0,1603797,1526006,347782000,21806100,134.279,8.419,40.0094,-75.1333,11943.766337253033,0.05097686378690525,1.1429127252389173,13.650682534126707,0.285107630872902,0.06269781574185093
PHX,2036,1208.9611984282908,1180.0,957.4985265225934,900.0,1.3513855529633443,1.774557956777996,1.518418467583497,54907.0,1608139,1445632,1340770000,3236740,517.673,1.25,33.5722,-112.09,3106.476482258105,0.11241242584558164,1.2660597124999768,3.9329847220156355,0.2642201245950332,0.0024146517202944715
SA,2041,1012.1577658010779,945.0,951.8471337579617,915.0,1.1327646039775219,1.761391474767271,1.5048995590396865,50214.0,1434625,1327407,1256440000,14515600,485.113,5.605,29.4659,-98.5247,2957.3006701531394,0.08077251362995685,1.422671429816154,4.2072671728030375,0.24188260623756191,0.01155400906592897
SD,2346,2254.057544757033,2056.0,958.1530264279625,900.0,2.4894528918139733,1.7382779198635976,1.524083546462063,67830.0,1386932,1307402,844018000,120537000,325.877,46.54,32.815,-117.136,4255.998428855059,0.06083056320856173,1.6915032604338207,7.19903521880955,0.39877179031526455,0.14281462024015196
SF/SJ,2307,3074.712613784135,2750.0,962.788903337668,852.0,3.4358697150692636,1.6662332032943217,1.429345470307759,115573.5,1887205,1751177,581999000,487244850,224.71099999999998,188.126,75.0239,-244.851,8398.36501105865,0.07767804168282244,1.2224427129008242,10.266520108049896,0.3192475036700422,0.8371908807312505
